Organization,Category,Street Address,City,State,Zip Code,Latitude,Longitude,Phone Number,Status,Free Services,Paid Services,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
"Mental Health Services (Eggleston Youth Centers, Inc. (EYC))",Mental Health,"13001 Ramona Boulevard, Irwindale",Los Angeles,CA,91706,34.0802531,-117.9899107,626-480-8107,Open,,"mental health evaluation, mental health care, psychiatric emergency services, disease management, counseling, group therapy, family counseling, one-on-one support",11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
LA Step Down Program (Telecare Corporation),Mental Health,"4335 Atlantic Ave, Long Beach",Los Angeles,CA,90807,33.8354951,-118.1853884,562-216-4900,Open,,"psychiatric emergency services, health education, mental health care, financial assistance, financial education, navigating the system, support network, one-on-one support",11:00 AM - 19:30 PM,11:00 AM - 19:30 PM,11:00 AM - 19:30 PM,11:00 AM - 19:30 PM,11:00 AM - 19:30 PM,Closed,Closed
Behavioral Health Services (Windstone Behavioral Health),Mental Health,"3625 Del Amo Boulevard, Torrance",Los Angeles,CA,90503,33.8491964,-118.3504468,310-802-7352,Open,,"psychiatric emergency services, outpatient treatment, counseling, mental health care, individual counseling, mental health evaluation",11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
AWAZ: Voices Against Violence (South Asian Network (SAN)),Mental Health,"18173 Pioneer Boulevard, Artesia",Los Angeles,CA,90701,33.8724363,-118.0850136,562-403-0488,Open,"parenting education, safety education, counseling, financial education, case management, support groups, advocacy & legal aid, translation & interpretation",,12:00 PM - 20:30 PM,12:00 PM - 20:30 PM,12:00 PM - 20:30 PM,12:00 PM - 20:30 PM,12:00 PM - 20:30 PM,Closed,Closed
Outpatient Mental Health Services (The Whole Child),Mental Health,,Los Angeles,CA,,,,562-692-0383,Open,"counseling, medication management, mental health care, family counseling, individual counseling, mental health evaluation",,11:00 AM - 22:00 PM,11:00 AM - 22:00 PM,11:00 AM - 22:00 PM,11:00 AM - 22:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Intensive Outpatient Treatment (Options for Recovery),Mental Health,"1124 West Carson Street, Torrance",Los Angeles,CA,90502,33.8308285,-118.2951648,323-457-1898,Open,,"transportation, outpatient treatment, drug testing, substance abuse counseling, anger management, individual counseling, support network, one-on-one support",11:00 AM - 00:00 AM,11:00 AM - 00:00 AM,11:00 AM - 00:00 AM,11:00 AM - 00:00 AM,11:00 AM - 00:00 AM,Closed,Closed
"Parenting Group Program (Helping Kids To Recover, Inc.)",Mental Health,"637 E Albertoni St, Carson",Los Angeles,CA,90746,33.8725285,-118.2647243,310-217-0616,Not specified,"daily life skills, parenting education, counseling, substance abuse counseling, skills & training",,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
"Perinatal Education Groups (Helping Kids To Recover, Inc.)",Mental Health,,Los Angeles,CA,,,,310-217-0616,Not specified,,"parenting education, maternity care, personal hygiene, substance abuse counseling",11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Supplemental Security Income Medi-Cal Advocacy Program (SSIMAP) (Los Angeles County Department of Public Social Services (DPSS)),Mental Health,"12860 Crossroads Pkwy S, City of Industry",Los Angeles,CA,91746,34.0285046,-118.0243462,866-613-3777,Not specified,,"mental health care, navigating the system",11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Learning Adulthood Skills and Supporting Ourselves (Happy Trails For Kids),Mental Health,"2525 Ocean Park Blvd Ste 104, Santa Monica",Los Angeles,CA,90405,34.0176634,-118.4584422,310-452-7979,Not specified,,"counseling, day camp, recreation, mentoring",11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Venice Youth Build (Venice Community Housing (VCH)),Mental Health,720 Rose Ave,Los Angeles,CA,90291,34.000639,-118.4687496,310-399-4100,Not specified,"counseling, support network, more education, skills & training, job placement, ged/high-school equivalency",,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
ATLAS - Assisted Outpatient Treatment-Full Service Partnership Program (Telecare Corporation),Mental Health,"12440 Firestone Blvd, Norwalk",Los Angeles,CA,90650,33.904901,-118.0684102,562-864-7821,Not specified,,"health education, mental health care, financial education, one-on-one support",11:00 AM - 19:30 PM,11:00 AM - 19:30 PM,11:00 AM - 19:30 PM,11:00 AM - 19:30 PM,11:00 AM - 19:30 PM,Closed,Closed
LA Older Adults (LAOA) (Telecare Corporation),Mental Health,"12440 Firestone Blvd, Norwalk",Los Angeles,CA,90650,33.904901,-118.0684102,562-929-6688,Not specified,,"outpatient treatment, health education, medical care, financial education, navigating the system, one-on-one support, skills & training",11:00 AM - 19:30 PM,11:00 AM - 19:30 PM,11:00 AM - 19:30 PM,11:00 AM - 19:30 PM,11:00 AM - 19:30 PM,Closed,Closed
Transforming Life Center (Transforming Life Center),Mental Health,"17814 Woodruff Ave, Bellflower",Los Angeles,CA,90706,33.8708899,-118.1169271,562-925-3700,Not specified,,"counseling, family counseling, individual counseling",11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Yoga123 Program (P.S. I Love You Foundation),Mental Health,"1732 Aviation Blvd, Redondo Beach",Los Angeles,CA,90278,33.8716144,-118.3811615,310-420-4717,Not specified,"exercise & fitness, mental health care, health education",,12:00 PM - 20:00 PM,12:00 PM - 20:00 PM,12:00 PM - 20:00 PM,12:00 PM - 20:00 PM,12:00 PM - 20:00 PM,Closed,Closed
Family Focused Mental Health Care (For the Child),Mental Health,"4001 Long Beach Blvd, Long Beach",Los Angeles,CA,90807,33.8309104,-118.1896375,562-427-7671,Not specified,mental health care,,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Veteran Addiction Treatment Services (Thornton & Associates Veteran Services),Mental Health,,Los Angeles,CA,,,,626-482-3478,Open,"addiction & recovery, detox, outpatient treatment, residential treatment, medications for addiction, hospital treatment",,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
"Sober Companion (Loving Hearts Private Care, Inc)",Mental Health,"11616 Hawthorne Blvd, Hawthorne",Los Angeles,CA,90250,33.9286632,-118.3523102,866-227-3331,Open,"substance abuse counseling, support network, peer support",,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Behavioral Intervention - Visions Learning Center (Helpline Youth Counseling (HYC)),Mental Health,"10750 Laurel Avenue, Whittier",Los Angeles,CA,90605,33.9355793,-118.0481551,562-273-0722,Not specified,,"counseling, daytime care",11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Behavioral Intervention - ABCUSD School-Based Mental Health Services (Helpline Youth Counseling (HYC)),Mental Health,"10750 Laurel Avenue, Whittier",Los Angeles,CA,90605,33.9355793,-118.0481551,562-273-0722,Not specified,,"mental health evaluation, specialized therapy, one-on-one support",11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Women's Health program (Venice Family Clinic),Mental Health,604 Rose Ave,Los Angeles,CA,90291,33.999095,-118.4715185,310-392-8636,Not specified,,"health education, family planning, medical care, disease screening, maternity care, mental health care, support network",11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 19:00 PM,Closed,Closed
Residential Treatment Program (Impact Treatment Center),Mental Health,"1680 North Fair Oaks Avenue, Pasadena",Los Angeles,CA,91103,34.1751784,-118.1503711,888-588-1188,Open,,"addiction & recovery, residential treatment, substance abuse counseling, mental health care, individual counseling",11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Evidence-Based Practice (EBP) - Managing and Adapting Practices (MAP) (Pacific Asian Counseling Services (PACS)),Mental Health,8616 La Tijera Boulevard,Los Angeles,CA,90045,33.9591908,-118.3914552,310-337-1550,Open,"mental health care, understand mental health",,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Evidence-Based Practice (EBP) - Child Parent Psychotherapy (CPP) (Pacific Asian Counseling Services (PACS)),Mental Health,8616 La Tijera Boulevard,Los Angeles,CA,90045,33.9591908,-118.3914552,310-337-1550,Open,"early childhood intervention, mental health care",,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Evidence-Based Practice (EBP) - Individual Cognitive Behavioral Therapy (Ind. CBT) (Pacific Asian Counseling Services (PACS)),Mental Health,8616 La Tijera Boulevard,Los Angeles,CA,90045,33.9591908,-118.3914552,310-337-1550,Open,counseling,,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Evidence-Based Practice (EBP) - Seeking Safety (SS) (Pacific Asian Counseling Services (PACS)),Mental Health,8616 La Tijera Boulevard,Los Angeles,CA,90045,33.9591908,-118.3914552,310-337-1550,Open,"counseling, individual counseling",,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Substance Use Disorder Program (Clinica Monsenor Oscar A. Romero),Mental Health,2032 Marengo St,Los Angeles,CA,90033,34.0563588,-118.207648,213989-7700,Not specified,"transportation, addiction & recovery, outpatient treatment, parenting education, anger management, substance abuse counseling, daytime care",,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Mental Health Services (Clínica Monseñor Romero),Mental Health,2032 Marengo St,Los Angeles,CA,90033,34.0563588,-118.207648,213-989-7700,Open,,"group therapy, family counseling, individual counseling, support groups",10:30 AM - 20:00 PM,10:30 AM - 20:00 PM,10:30 AM - 20:00 PM,10:30 AM - 20:00 PM,10:30 AM - 20:00 PM,Closed,Closed
Tia Family Service Center (Tia Family Service Center),Mental Health,2202 S Figueroa St,Los Angeles,CA,90007,34.0313135,-118.2737106,323-906-6541,Open,"counseling, specialized therapy, navigating the system, advocacy & legal aid",,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Caught in the Crossfire (Soledad Enrichment Action (SEA)),Mental Health,2051 Marengo Street,Los Angeles,CA,90033,34.059442,-118.2081016,323-226-3670,Open,"mental health care, navigating the system, one-on-one support",,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
"Psychological Assessment Program (Children's Collective, Inc. (TCCI))",Mental Health,255 East 28th Street,Los Angeles,CA,90011,34.0222779,-118.2666217,310-733-4388,Open,,"understand disability, disability screening, mental health evaluation, navigating the system, support network, one-on-one support, specialized therapy, navigating the system",11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
In-Home Therapy (Westside Infant-Family Network (WIN)),Mental Health,3701 Stocker Street,Los Angeles,CA,90008,34.0071158,-118.3378621,,Open,,"early childhood intervention, mental health care, counseling",11:30 AM - 20:00 PM,11:30 AM - 20:00 PM,11:30 AM - 20:00 PM,11:30 AM - 20:00 PM,11:30 AM - 20:00 PM,Closed,Closed
Comprehensive Family Support (Westside Infant-Family Network (WIN)),Mental Health,3701 Stocker Street,Los Angeles,CA,90008,34.0071158,-118.3378621,213-290-6113,Open,,"early childhood intervention, mental health care, case management",11:30 AM - 20:00 PM,11:30 AM - 20:00 PM,11:30 AM - 20:00 PM,11:30 AM - 20:00 PM,11:30 AM - 20:00 PM,Closed,Closed
Field Capable Clinical Services (Koreatown Youth And Community Center (KYCC)),Mental Health,3727 W 6th St,Los Angeles,CA,90020,34.0639652,-118.303721,213-365-7400,Not specified,,"understand mental health, mental health evaluation",11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Behavioral Health & Wellness (Children's Institute),Mental Health,,Los Angeles,CA,,,,213-260-7600,Open,"mental health care, counseling, family counseling, individual counseling, support groups",,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Residential Services (The Alcoholism Center for Women (ACW)),Mental Health,1147 South Alvarado Street,Los Angeles,CA,90006,34.0491058,-118.2819196,213-381-8500,Open,"sober living, addiction & recovery, 12-step, residential treatment, support network",,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Rapid HIV Testing (Minority AIDS Project (MAP)),Mental Health,5149 W Jefferson Blvd,Los Angeles,CA,90016,34.025779,-118.3567443,323-936-4949,Open,"checkup & test, counseling, navigating the system",,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Brown Scapular Program-Substance Abuse Treatment (Canon Human Services Center),Mental Health,9705 Holmes Avenue,Los Angeles,CA,90002,33.9479556,-118.2410128,323-249-9097,Open,,"outpatient treatment, substance abuse counseling, counseling",11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Comprehensive Services (TCC Family Health),Mental Health,"1060 70th Street, Long Beach",Los Angeles,CA,90805,33.8815298,-118.1794791,844-822-4646,Open,,"health education, disease management, family planning, medical care, primary care, birth control, checkup & test, maternity care, prevent & treat, mental health care",11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
CARE (Counseling Advocacy Referral Empowerment) Program (Familia Unidas),Mental Health,4716 East Cesar E Chavez Avenue,Los Angeles,CA,90022,34.0402137,-118.1643033,323-418-2667,Not specified,"counseling, navigating the system, support groups",,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Job Information Center (Brookins- Kirkland Community African Methodist Episcopal (A.M.E) Church),Mental Health,"3719 West Slauson Avenue, View Park-Windsor Hills",Los Angeles,CA,90043,33.989279,-118.338507,323-296-5610,Open,"counseling, help find work",,13:00 PM - 17:00 PM,13:00 PM - 17:00 PM,13:00 PM - 17:00 PM,13:00 PM - 17:00 PM,Closed,Closed,Closed
Counseling Services and Mental Health Program (Renaissance South La),Mental Health,3651 South La Brea Avenue,Los Angeles,CA,90016,34.0200906,-118.3560223,323-872-6352,Open,,"checkup & test, mental health evaluation, mental health care, group therapy, family counseling, individual counseling, medications for mental health, understand mental health, navigating the system",11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Multidisciplinary Assessment Team (MAT) (SHIELDS for Families),Mental Health,11601 S Western Ave,Los Angeles,CA,90047,33.9284281,-118.310218,323-242-5000,Open,,"mental health care, navigating the system, one-on-one support",Closed,Closed,Closed,Closed,Closed,Closed,Closed
Adoption Promotion and Support Services (APSS) (SHIELDS for Families),Mental Health,11601 S Western Ave,Los Angeles,CA,90047,33.9284298,-118.3102831,323-242-5000,Temporarily closed,"group therapy, family counseling, individual counseling, post-adoption support, mentoring, one-on-one support, support groups",,Closed,Closed,Closed,Closed,Closed,Closed,Closed
Multi-Systemic Therapy (MST) (SHIELDS for Families),Mental Health,11601 South Western Avenue,Los Angeles,CA,90047,33.9284298,-118.3102831,310-603-1030,Open,,"specialized therapy, family counseling, navigating the system, support network, one-on-one support, advocacy & legal aid",Closed,Closed,Closed,Closed,Closed,Closed,Closed
Family and Friends Groups (AL-ANON California),Mental Health,,Los Angeles,CA,,,,888-425-2666,Open,"counseling, peer support, support groups",,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
No Veteran Left Behind (Working Dogs For Vets),Mental Health,,Los Angeles,CA,,,,,Open,support & service animals,,9:00 AM - 18:00 PM,9:00 AM - 18:00 PM,9:00 AM - 18:00 PM,9:00 AM - 18:00 PM,9:00 AM - 18:00 PM,10:00 AM - 15:00 PM,Closed
Her Journey (Abuse Recovery Ministry & Services),Mental Health,,Los Angeles,CA,,,,503-846-9284,Open,"understand mental health, navigating the system, support network, spiritual support, virtual support, more education",,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
NAMI HelpLine (National Alliance on Mental Illness (NAMI)),Mental Health,,Los Angeles,CA,,,,800-950-6264,Open,"understand mental health, navigating the system, help hotlines",,10:00 AM - 22:00 PM,10:00 AM - 22:00 PM,10:00 AM - 22:00 PM,10:00 AM - 22:00 PM,10:00 AM - 22:00 PM,Closed,Closed
Psychotherapy (A Home Within),Mental Health,,Los Angeles,CA,,,,,Open,"specialized therapy, mental health care",,11:00 AM - 19:30 PM,11:00 AM - 19:30 PM,11:00 AM - 19:30 PM,11:00 AM - 19:30 PM,11:00 AM - 19:30 PM,Closed,Closed
"Online Support Groups for those affected by the loss of an infant through stillbirth, miscarriage, or infant death (Star Legacy Foundation)",Mental Health,,Los Angeles,CA,,,,,Open,"bereavement, support groups, virtual support",,9:00 AM - 18:00 PM,9:00 AM - 18:00 PM,9:00 AM - 18:00 PM,9:00 AM - 18:00 PM,9:00 AM - 18:00 PM,Closed,Closed
Pregnancy Loss Support Group (Little Angel Network),Mental Health,,Los Angeles,CA,,,,,Open,"mental health care, community support services, exercise & fitness, support network, counseling, mentoring, one-on-one support, spiritual support, support groups, virtual support",,9:00 AM - 18:00 PM,9:00 AM - 18:00 PM,9:00 AM - 18:00 PM,9:00 AM - 18:00 PM,9:00 AM - 18:00 PM,Closed,Closed
Brightlife Kids program by Brightline (BrightLife Kids),Mental Health,,Los Angeles,CA,,,,,Open,"parenting education, understand mental health, one-on-one support, virtual support",,11:00 AM - 23:00 PM,11:00 AM - 23:00 PM,11:00 AM - 23:00 PM,11:00 AM - 23:00 PM,11:00 AM - 23:00 PM,Closed,Closed
Therapeutic Behavioral Service (TBS) (ChildNet Youth and Family Services),Mental Health,"4155 Outer Traffic Circle, Long Beach",Los Angeles,CA,90804,33.7891933,-118.1437365,562-490-7600,Open,,"daily life skills, parenting education, mental health care, psychiatric emergency services, adoption & foster care, post-adoption support, one-on-one support",11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Wraparound Support Services (ChildNet Youth and Family Services),Mental Health,"4155 Outer Traffic Circle, Long Beach",Los Angeles,CA,90804,33.789171,-118.1436745,562-490-7600,Open,,"help find housing, parenting education, group therapy, family counseling, individual counseling, help find childcare, navigating the system, support network, one-on-one support",11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Family Preservation Program (Boys & Girls Club of San Fernando Valley (BGCSFV)),Mental Health,11251 Glenoaks Boulevard,Los Angeles,CA,91331,34.2742217,-118.4132981,818-896-5261,Open,,"transportation, daily life skills, parenting education, checkup & test, counseling, group therapy, family counseling, individual counseling, navigating the system",18:00 PM - 22:45 PM,18:00 PM - 22:45 PM,18:00 PM - 22:45 PM,18:00 PM - 22:45 PM,17:00 PM - 21:45 PM,Closed,Closed
Behavioral Health and Case Management (Community Medical Wellness Center),Mental Health,"1360 East Anaheim Street, Long Beach",Los Angeles,CA,90813,33.7822374,-118.1742986,818-833-3066,Open,,"addiction & recovery, substance abuse counseling, mental health care, group therapy, individual counseling, mental health evaluation, case management",12:00 PM - 16:00 PM,12:00 PM - 16:00 PM,12:00 PM - 16:00 PM,12:00 PM - 16:00 PM,12:00 PM - 16:00 PM,Closed,Closed
"Center for the Assessment and Prevention of Prodromal States (CAPPS) (San Fernando Valley Community Mental Health Center, Inc.)",Mental Health,16360 Roscoe Boulevard,Los Angeles,CA,91406,34.2206894,-118.4891133,818-528-8887,Open,,"medication management, mental health care, mental health evaluation, navigating the system, one-on-one support, specialized therapy, medications for mental health, case management, more education",11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
"Childrens Full Service Partnership (CFSP) (San Fernando Valley Community Mental Health Center, Inc.)",Mental Health,16360 Roscoe Boulevard,Los Angeles,CA,91406,34.2206894,-118.4891133,818-908-4999,Open,,"psychiatric emergency services, mental health care, navigating the system, case management, one-on-one support",11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
"Cornerstone RRR (San Fernando Valley Community Mental Health Center, Inc.)",Mental Health,16360 Roscoe Boulevard,Los Angeles,CA,91406,34.2206894,-118.4891133,818-901-4836,Open,"temporary shelter, personal hygiene, medication management, counseling, substance abuse counseling, medications for mental health, navigating the system, support network, one-on-one support",,10:30 AM - 20:00 PM,10:30 AM - 20:00 PM,10:30 AM - 20:00 PM,10:30 AM - 20:00 PM,10:30 AM - 20:00 PM,Closed,Closed
"CalWORKS Mental Health Supportive Services (San Fernando Valley Community Mental Health Center, Inc.)",Mental Health,16360 Roscoe Boulevard,Los Angeles,CA,91406,34.2206894,-118.4891133,818-838-1352,Open,,"outpatient treatment, dental care, medical care, prevent & treat, community support services, recreation, more education, daily life skills, advocacy & legal aid",11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
"Victory Wellness Center Prevention & Intervention Services (San Fernando Valley Community Mental Health Center, Inc.)",Mental Health,16360 Roscoe Boulevard,Los Angeles,CA,91406,34.2206894,-118.4891133,818-989-7475,Open,,"medical care, mental health care, navigating the system, support network, one-on-one support, community support services, recreation, peer support, skills & training",11:30 AM - 20:00 PM,11:30 AM - 20:00 PM,11:30 AM - 20:00 PM,11:30 AM - 20:00 PM,11:30 AM - 20:00 PM,Closed,Closed
Long Beach Trauma Recovery Center (LBTRC) (California State University Long Beach),Mental Health,"1045 Atlantic Avenue, Long Beach",Los Angeles,CA,90813,33.7802724,-118.185324,562-491-7977,Open,"counseling, group therapy, family counseling, community support services, navigating the system, support network, one-on-one support, translation & interpretation",,11:30 AM - 20:30 PM,11:30 AM - 20:30 PM,11:30 AM - 20:30 PM,11:30 AM - 20:30 PM,11:30 AM - 20:30 PM,Closed,Closed
SKY Resilience Training (Project Welcome Home Troops),Mental Health,,Los Angeles,CA,,,,202-642-4248,Open,"health education, understand mental health",,Closed,Closed,21:30 PM - 00:00 AM,21:30 PM - 00:00 AM,21:30 PM - 00:00 AM,13:00 PM - 16:00 PM,13:00 PM - 16:00 PM
One-Day Virtual Family Program (Hazelden Betty Ford Foundation),Mental Health,,Los Angeles,CA,,,,,Open,"substance abuse counseling, health education, family counseling, support network, support groups, virtual support",,9:00 AM - 16:30 PM,9:00 AM - 16:30 PM,9:00 AM - 16:30 PM,9:00 AM - 16:30 PM,9:00 AM - 16:30 PM,Closed,Closed
Counseling Services (Adventures of the Heart & Mind (AHM)),Mental Health,,Los Angeles,CA,,,,951-541-1898,Open,,"counseling, group therapy, family counseling, individual counseling, virtual support",10:00 AM - 22:00 PM,10:00 AM - 22:00 PM,10:00 AM - 22:00 PM,10:00 AM - 22:00 PM,10:00 AM - 22:00 PM,Closed,Closed
Crisis Text Hotline (THRIVE Lifeline),Mental Health,,Los Angeles,CA,,,,313-662-8209,Open,"understand mental health, mental health care, psychiatric emergency services, help hotlines, one-on-one support, virtual support",,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM
OCD Therapy (NOCD),Mental Health,,Los Angeles,CA,,,,312-766-6780,Open,,"prevent & treat, specialized therapy, mental health care, counseling, mental health evaluation, understand mental health, one-on-one support, virtual support",12:00 PM - 22:30 PM,12:00 PM - 22:30 PM,12:00 PM - 22:30 PM,12:00 PM - 22:30 PM,12:00 PM - 22:30 PM,Closed,Closed
Mental Health Treatment (Headstrong),Mental Health,,Los Angeles,CA,,,,,Open,"counseling, individual counseling, virtual support",,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
SB-38 Multiple Offender DUI Program (Council on Alcoholism and Drug Abuse (CADA)),Mental Health,,Los Angeles,CA,,,,805-722-1310,Open,,"substance abuse counseling, health education, support network, one-on-one support, support groups, case management",13:30 PM - 22:30 PM,13:30 PM - 22:30 PM,13:30 PM - 22:30 PM,13:30 PM - 22:30 PM,13:30 PM - 22:30 PM,Closed,Closed
Anger Management Group (Valley Women's Center (VWC)),Mental Health,22110 Roscoe Boulevard,Los Angeles,CA,91304,34.2193483,-118.6083507,818-713-8700,Open,,"specialized therapy, anger management, skills & training",17:00 PM - 20:30 PM,Closed,Closed,Closed,Closed,Closed,Closed
Counseling (Thomas House Family Shelter),Mental Health,,Los Angeles,CA,,,,714-554-0357107,Open,,counseling,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Mental Health Services - Outpatient Mental Health Program (David and Margaret Youth and Family Services),Mental Health,"1350 3rd Street, La Verne",Los Angeles,CA,91750,34.1024159,-117.7854785,909-596-59213500,Open,,"psychiatric emergency services, mental health evaluation, specialized therapy, mental health care, group therapy, navigating the system",11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
